,URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code),no2_µg/m3,pm25_µg/m3,no2_x,no2_y,pm_x,pm_y
5,100005,202,Camden,1048.0,Thomas Coram Centre,15,Local authority nursery school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,1,Nursery,3.0,5.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,17-01-2019,133.0,70.0,63.0,33.8,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,06-03-2019,0,Not applicable,11-07-2019,49 Mecklenburgh Square,,,London,,WC1N 2NY,http://www.thomascoram.camden.sch.uk/,2075200385.0,Ms,Perina,Holness,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000141,King's Cross,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,530464.0,182403.0,,Camden 025,Camden 025B,,,,,,999,,,Outstanding,North-West London and South-Central England,,5088037.0,,E02000190,E01000937,45.10371,15.19159,530460.0,182400.0,530460.0,182400.0
8,100008,202,Camden,2019.0,Argyle Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,432.0,2,No Special Classes,17-01-2019,350.0,163.0,187.0,37.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10078065.0,,Not applicable,30-01-2019,0,Not applicable,11-07-2019,Tonbridge Street,,,London,,WC1H 9EG,http://www.argyle.camden.sch.uk/,2078374590.0,Ms,Jemima,Wade,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000141,King's Cross,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,530238.0,182761.0,,Camden 025,Camden 025C,,,,,,999,,,Good,North-West London and South-Central England,,5090707.0,,E02000190,E01000941,45.14359,14.980089999999999,530240.0,182760.0,530240.0,182760.0
9,100009,202,Camden,2036.0,Beckford Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459.0,2,No Special Classes,17-01-2019,410.0,209.0,201.0,33.0,0,Not applicable,,,Not applicable,,Not under a federation,,,10077183.0,,Not applicable,24-01-2017,0,Not applicable,26-07-2019,Dornfell Street,West Hampstead,,London,,NW6 1QL,http://www.beckford.camden.sch.uk/,2074358646.0,Mr,Samuel,Drake,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000132,Fortune Green,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,524888.0,185067.0,,Camden 005,Camden 005C,,,,,,999,,,Good,North-West London and South-Central England,,5090655.0,,E02000170,E01000873,38.33753,13.56339,524880.0,185060.0,524880.0,185060.0
10,100010,202,Camden,2065.0,Brecknock Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,2.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,583.0,2,No Special Classes,17-01-2019,405.0,226.0,179.0,35.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10073852.0,,Not applicable,22-11-2017,0,Not applicable,11-07-2019,Cliff Villas,,,London,,NW1 9AL,http://www.brecknock.camden.sch.uk/,2074856334.0,Ms,Marianne,Porter,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000131,Cantelowes,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529912.0,184835.0,,Camden 015,Camden 015E,,,,,,999,,,Good,North-West London and South-Central England,,5090625.0,,E02000180,E01000869,41.61902,14.07347,529920.0,184840.0,529920.0,184840.0
11,100011,202,Camden,2078.0,Brookfield Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459.0,2,No Special Classes,17-01-2019,427.0,217.0,210.0,16.1,0,Not applicable,,,Not applicable,,Not under a federation,,,10078064.0,,Not applicable,19-04-2018,0,Not applicable,11-07-2019,Chester Road,,,London,,N19 5DH,http://www.brookfield.camden.sch.uk/,2072729627.0,Mr,Mark,Stubbings,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000137,Highgate,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528706.0,186594.0,,Camden 001,Camden 001B,,,,,,999,,,Good,North-West London and South-Central England,,5109551.0,,E02000166,E01000908,36.98798,13.37181,528700.0,186600.0,528700.0,186600.0
12,100012,202,Camden,2095.0,Carlton Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,436.0,2,No Special Classes,17-01-2019,285.0,153.0,132.0,45.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10078063.0,,Not applicable,29-01-2019,0,Not applicable,11-07-2019,Grafton Road,,,London,,NW5 4AX,http://www.carlton.camden.sch.uk/,2074851947.0,Ms,Jacqueline,Phelan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528386.0,185209.0,,Camden 007,Camden 007C,,,,,,999,,,Good,North-West London and South-Central England,,5069952.0,,E02000172,E01000891,42.53236,14.28757,528380.0,185200.0,528380.0,185200.0
13,100013,202,Camden,2184.0,Edith Neville Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,232.0,2,No Special Classes,17-01-2019,197.0,96.0,101.0,34.5,0,Not applicable,,,Not applicable,,Not under a federation,,,10078062.0,,Not applicable,05-06-2018,0,Not applicable,11-07-2019,174 Ossulston Street,,,London,,NW1 1DN,http://www.edithneville.camden.sch.uk/,2073877158.0,,Ruby,Nasser,Acting Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000143,St Pancras and Somers Town,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,529725.0,183195.0,,Camden 022,Camden 022B,,,,,,999,,,Good,North-West London and South-Central England,,5018016.0,,E02000187,E01000953,42.63216,14.530579999999999,529720.0,183200.0,529720.0,183200.0
14,100014,202,Camden,2219.0,Fleet Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210.0,2,No Special Classes,17-01-2019,228.0,104.0,124.0,30.7,0,Not applicable,,,Not applicable,,Not under a federation,,,10078061.0,,Not applicable,25-01-2017,0,Not applicable,11-07-2019,Fleet Road,,,London,,NW3 2QT,http://www.fleet.camden.sch.uk/,2074852028.0,,Donald,McGibbon,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,527677.0,185424.0,,Camden 006,Camden 006B,,,,,,999,,,Good,North-West London and South-Central England,,5090740.0,,E02000171,E01000887,42.3968,14.063939999999999,527680.0,185420.0,527680.0,185420.0
15,100015,202,Camden,2290.0,Hawley Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,3.0,11.0,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236.0,2,No Special Classes,17-01-2019,188.0,101.0,87.0,21.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10075421.0,,Not applicable,28-02-2019,0,Not applicable,11-07-2019,Hawley Road,,,London,,NW1 8RP,http://www.hawley.camden.sch.uk/,2074855020.0,Ms,A,Fontaine,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000130,Camden Town with Primrose Hill,E14000750,Holborn and St Pancras,A1,Urban major conurbation,E09000007,528886.0,184273.0,,Camden 019,Camden 019A,,,,,,999,,,Good,North-West London and South-Central England,,5185814.0,,E02000184,E01000856,46.63513,14.60481,528880.0,184280.0,528880.0,184280.0
17,100017,202,Camden,2358.0,Kingsgate Infant School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,1,Result of Amalgamation/Merger,31-08-2000,2,Primary,3.0,7.0,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,,0,Not applicable,14-11-2018,Kingsgate Road,,,London,,NW6 2JG,,2076245379.0,Mrs,L,Manton,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000007,Camden,E05000140,Kilburn,E14000727,Hampstead and Kilburn,A1,Urban major conurbation,E09000007,525140.0,184253.0,,Camden 013,Camden 013C,,,,,,999,,,,North-West London and South-Central England,,,,E02000178,E01000931,38.87127,13.692160000000001,525140.0,184260.0,525140.0,184260.0
